Date,Open,High,Low,LTP
01-Jan-15,502.65,504,499.05,503
02-Jan-15,503.2,516.9,501.7,514.55
02-Jan-15,518.5,518.5,518.5,-
05-Jan-15,516.9,520.4,515.1,516.5
06-Jan-15,513.55,513.55,496.75,498.5
07-Jan-15,498.8,505.35,494.5,501
08-Jan-15,506,507,494.65,499.35
09-Jan-15,504.9,505.9,487,493.95
12-Jan-15,495,503.8,492.15,501.55
13-Jan-15,504,511.7,500.3,503.8
13-Jan-15,510,510,507.7,-
14-Jan-15,504.5,505.75,494.2,500
14-Jan-15,503.2,503.2,497.75,-
15-Jan-15,523.45,523.95,511.1,512.95
16-Jan-15,516.6,521.5,512.6,514.3
19-Jan-15,519.45,531.8,516.85,529.7
20-Jan-15,532.55,554.7,531.1,552.15
20-Jan-15,548,563,548,-
21-Jan-15,553,556.8,545.55,546.4
21-Jan-15,563.5,563.5,554,-
22-Jan-15,549.7,567.15,547.8,567
22-Jan-15,560,560,560,-
23-Jan-15,571,577.4,560.3,566
27-Jan-15,570.9,597.8,567,593.25
27-Jan-15,585,585,585,-
28-Jan-15,590,599.8,583.45,589.8
29-Jan-15,588.95,602,582.1,599.75
29-Jan-15,590,594,590,-
30-Jan-15,602.75,604.05,583.7,587.75
02-Feb-15,586,621,584.4,620.9
02-Feb-15,598,598,598,-
03-Feb-15,623,625.6,584.5,585.65
03-Feb-15,627,627,595,-
04-Feb-15,591,592,553.25,560.5
04-Feb-15,566,569,565,-
05-Feb-15,562.4,578.5,558.6,568
06-Feb-15,568,571.5,545.75,564.35
09-Feb-15,555,569.6,550,550.8
10-Feb-15,546.9,569.8,540.5,556.3
11-Feb-15,559.35,572.65,555.5,569.5
12-Feb-15,573,581.5,564,581.5
13-Feb-15,582.15,588.75,576.5,578.8
16-Feb-15,583,584,566.1,570.5
18-Feb-15,572,574,564,570.4
19-Feb-15,574,575.6,553.25,566.2
20-Feb-15,566.45,570.8,554,560.75
20-Feb-15,561.25,561.25,559.35,-
23-Feb-15,563.5,567,546.05,548.25
23-Feb-15,550.5,550.5,550.5,-
24-Feb-15,549.9,555.7,542,551.5
25-Feb-15,554.2,558.6,550.1,551
26-Feb-15,552.65,557.65,543.8,553
27-Feb-15,555.6,570.35,550.35,569.05
27-Feb-15,558.85,558.85,558.85,-
28-Feb-15,574,618.9,562.8,618.1
02-Mar-15,630,650,628.7,650
02-Mar-15,636.5,636.5,636.5,-
03-Mar-15,649,649,628.55,632.6
04-Mar-15,650.9,654.9,608.15,610
04-Mar-15,632.75,632.75,632.75,-
05-Mar-15,613,622,603.5,616.8
09-Mar-15,610,610,589.15,590
09-Mar-15,605.75,605.75,598.45,-
10-Mar-15,591.9,594.8,580,587
11-Mar-15,585.25,592.7,580,583.55
12-Mar-15,587.5,593.5,582.7,583.6
13-Mar-15,589.5,590.95,564.1,571.5
16-Mar-15,569.5,573.8,559.1,570.9
17-Mar-15,574.9,585.8,567.05,582.95
18-Mar-15,584.25,585.8,575.75,579
19-Mar-15,588,595.55,558.5,559.7
19-Mar-15,587.5,587.5,562.95,-
20-Mar-15,563,564,551.7,560.1
23-Mar-15,559.9,562,552.65,552.8
24-Mar-15,553.95,566,551.25,557.15
25-Mar-15,559.85,567.15,553.9,561.55
26-Mar-15,560,561.45,537.5,545.5
27-Mar-15,548,551.25,526.1,546.95
30-Mar-15,552.5,565.45,549.35,565.45
31-Mar-15,567.9,573.5,557.25,558
31-Mar-15,570,571.05,570,-
01-Apr-15,557.7,572,555.25,569.8
06-Apr-15,571.95,571.95,562.1,568
07-Apr-15,571,573,555,559.05
08-Apr-15,561.8,564,551.1,556
08-Apr-15,563.9,563.9,556,-
09-Apr-15,560,577,555.1,571.6
09-Apr-15,570,570,570,-
10-Apr-15,573.4,574.8,565.4,566.5
13-Apr-15,570,571.65,562,565.35
15-Apr-15,566.9,573.5,541.35,549.7
16-Apr-15,552,556.4,543.05,549.7
17-Apr-15,550,550.35,531.8,534.3
20-Apr-15,534.1,538.25,507,521.2
21-Apr-15,518.25,532.7,516.55,523.2
22-Apr-15,526.95,545,520.3,541.95
23-Apr-15,543.25,548.7,535.55,537.1
24-Apr-15,538,538.25,519.9,524.15
27-Apr-15,529.4,540.75,522.35,524
27-Apr-15,529,529,529,-
28-Apr-15,523.9,539.45,519.1,533.15
29-Apr-15,535.9,559.9,535.25,558.55
29-Apr-15,544.15,545,544.15,-
30-Apr-15,563.3,582.4,559,570
04-May-15,571.4,576,562.8,568
05-May-15,569,574.25,562.5,564.6
05-May-15,572,572,572,-
06-May-15,564.05,565.9,541.2,543
07-May-15,539.65,544.8,523.3,526.1
08-May-15,535.75,548,533.5,539.8
11-May-15,545.5,552,543.1,550.4
12-May-15,553,553.9,529.9,531.1
13-May-15,538,564.2,535.2,558.85
14-May-15,557.4,558.8,547.5,555.3
15-May-15,558.5,567.3,557,561.6
18-May-15,563.3,569.85,558.65,568
18-May-15,565,565,565,-
19-May-15,566,570.9,558.6,560.45
20-May-15,562.75,566.85,556.5,558.3
21-May-15,560,572,560,569.55
21-May-15,561,561,561,-
22-May-15,571.3,576.65,563.75,567
22-May-15,550,550,550,-
25-May-15,568.1,569.75,560.2,561.95
26-May-15,563,566.8,558.2,566
27-May-15,562,579.5,561.25,577.1
27-May-15,567,567,567,-
28-May-15,578.95,585.8,570.4,576.4
28-May-15,585,585,575,-
29-May-15,575.5,587.3,574.7,585.3
29-May-15,580,580,580,-
01-Jun-15,586.9,588.9,577.1,578.6
02-Jun-15,582,582.4,548.4,552.75
02-Jun-15,550,550,550,-
03-Jun-15,553.25,554,538.55,552.1
03-Jun-15,550,550,545.5,-
04-Jun-15,560,560,546,556.25
05-Jun-15,556,557.25,546.05,546.6
08-Jun-15,547,557.5,544,552.75
09-Jun-15,552.05,564,550.45,557.1
10-Jun-15,558.9,567.7,558.85,564.5
11-Jun-15,567.9,570.2,545.05,546
12-Jun-15,547,552.5,540.8,551.9
15-Jun-15,553.9,555,545.35,550
16-Jun-15,550,553.95,540.05,553.9
17-Jun-15,553.1,557.4,547.6,549.15
18-Jun-15,551.7,554.8,547.4,551
19-Jun-15,554,555.4,548.25,554.05
22-Jun-15,556.55,575.9,556.55,572
23-Jun-15,575.6,579.5,566.3,571
24-Jun-15,572,577.4,567.2,569.25
25-Jun-15,568.1,577.9,567.05,570
26-Jun-15,568.1,569.7,560,565.8
29-Jun-15,554,567.3,546,565.95
30-Jun-15,561.05,566,553,558
01-Jul-15,558.8,580.5,556.85,579.65
02-Jul-15,580.1,586.65,576.1,583.5
03-Jul-15,581.85,588.5,581,586.9
06-Jul-15,575.5,585.8,573.5,585.4
07-Jul-15,585.3,590.75,581.35,586.7
08-Jul-15,578,585,574.9,576.1
09-Jul-15,575.85,577.4,566.4,572.65
10-Jul-15,574.2,583,570.8,575.35
13-Jul-15,578.1,583.45,570.15,582.3
14-Jul-15,582.6,587.65,578.9,582.7
15-Jul-15,584.55,589.45,581.5,584.55
16-Jul-15,587.4,613.45,587,608.3
17-Jul-15,604.5,609.9,598.5,601
20-Jul-15,600,603.4,590.3,599.85
21-Jul-15,596.6,601,582.75,584.8
22-Jul-15,582.85,593.5,579,589.5
23-Jul-15,590,598.55,581.4,582.8
24-Jul-15,587.65,593.75,575.1,581.2
27-Jul-15,577.5,579.45,553.75,555.95
28-Jul-15,558.6,564,550.45,560.9
29-Jul-15,563.3,568.15,562,565.75
30-Jul-15,571.4,575.75,563.1,567.8
31-Jul-15,567.7,579.3,567,574.9
03-Aug-15,576,582.7,573.4,575
04-Aug-15,578.9,584.45,571.65,580.3
05-Aug-15,582,589.5,576.5,580.55
06-Aug-15,580,586.5,578.95,584.45
07-Aug-15,584.9,584.9,576,581.4
10-Aug-15,582.75,584.7,570.75,571
11-Aug-15,577.7,580.85,566.35,572.1
12-Aug-15,571.25,571.25,571.25,571.25
12-Aug-15,569.4,569.8,556,559.25
13-Aug-15,563.5,571.45,560,570.7
14-Aug-15,565.15,574.25,554.85,571.75
17-Aug-15,569.75,571.75,560.05,561
18-Aug-15,567,567.25,555.5,562.35
19-Aug-15,560.9,561.75,552.8,556
20-Aug-15,550,553,529.5,535.4
21-Aug-15,527,528.9,514.3,524.25
