Date,Open,High,Low,LTP
01-Jan-15,265.6,269.95,263.55,269.55
02-Jan-15,269.4,276.95,269,275.75
05-Jan-15,276,278.4,270.1,273.5
06-Jan-15,270.9,271,259.5,260.35
07-Jan-15,259.65,260.95,250,254.7
08-Jan-15,258,261.2,256.15,256.95
09-Jan-15,258.25,261.15,251,254.5
12-Jan-15,254.6,259,253.1,257.9
13-Jan-15,260.2,266,255.25,258
14-Jan-15,257.9,270.8,257.9,270.8
15-Jan-15,272,275.9,265,266.65
16-Jan-15,267.5,274.85,264.65,274.4
19-Jan-15,274.2,282.4,273.05,282.4
20-Jan-15,283.55,284,278.3,280.65
21-Jan-15,282,283.5,277.1,281
22-Jan-15,283.45,287.35,280.85,284.2
23-Jan-15,286.05,288.4,277.3,279.05
27-Jan-15,285.15,286.5,279.5,281.3
28-Jan-15,281,282.45,273.15,279.25
29-Jan-15,278.5,289.9,276,287
30-Jan-15,289,297.8,285.5,292.1
02-Feb-15,291.4,296.5,290.15,293.5
03-Feb-15,295.95,298.95,291.2,297.45
04-Feb-15,299,300,284,285.3
05-Feb-15,286.9,289.8,274.1,275
06-Feb-15,276.95,279.25,263.25,263.85
09-Feb-15,261.5,266,257.1,257.45
10-Feb-15,255.5,267,255.5,264.4
11-Feb-15,263,265.05,253.6,255.5
12-Feb-15,254,269.4,250.75,267.05
13-Feb-15,251,263.85,251,259.4
16-Feb-15,259.35,261.45,255,259.15
18-Feb-15,259,263.45,257.1,259.85
19-Feb-15,260.55,264.3,256.6,262.45
20-Feb-15,262.8,276.3,262.5,276
23-Feb-15,277,277,270.75,271.45
24-Feb-15,273,279.35,271.05,277.4
25-Feb-15,279.5,281.75,271.75,272.4
26-Feb-15,272.7,276.95,262.25,268
27-Feb-15,267,272.15,265.55,271
28-Feb-15,275,279.5,252,262.7
02-Mar-15,263.45,275.3,263.45,273.4
03-Mar-15,273.75,275.8,268.15,275
04-Mar-15,276.3,278.7,268.5,270.75
05-Mar-15,273,273.7,266.05,270
09-Mar-15,267,267.95,256.95,260
10-Mar-15,260,262.9,255.2,259.85
11-Mar-15,259.9,262.9,255.6,257.7
12-Mar-15,259.95,264.95,259,264.7
13-Mar-15,265.4,266.35,253.5,255.8
16-Mar-15,256.15,260.4,251.6,260
17-Mar-15,260.4,265.8,258.25,264.5
18-Mar-15,265.7,266.15,256.75,257.5
19-Mar-15,260.85,261.8,251.9,252.5
20-Mar-15,253,255.4,245,246
23-Mar-15,246.3,246.6,235.5,237
24-Mar-15,235,242.5,233,240.7
25-Mar-15,240.9,241.2,235.15,236.8
26-Mar-15,235,244.5,234.15,236
27-Mar-15,237,238.55,228,232.65
30-Mar-15,235,239.9,232.2,239.35
31-Mar-15,239.95,242,233,236.55
01-Apr-15,235.8,236,229.6,230.95
06-Apr-15,230.35,238.4,227.6,236.6
07-Apr-15,232.5,235.25,228.7,234
08-Apr-15,235,239.4,234,235.3
09-Apr-15,236.55,238.05,230.5,232.7
