Date,Open,High,Low,LTP
01-Jan-15,383,383.45,378.55,379
02-Jan-15,380.5,386.6,379.95,380.85
05-Jan-15,381,386,377,377.5
06-Jan-15,374,382.1,373.7,380.5
07-Jan-15,380,384.45,372.55,375.25
08-Jan-15,384.7,385,377.3,379.2
09-Jan-15,382,383,372.9,376
12-Jan-15,374.9,374.9,356,359
13-Jan-15,358.5,362.4,358.05,361.5
14-Jan-15,363.9,364.9,360.3,363.05
15-Jan-15,368,371.75,362.1,369
16-Jan-15,367.25,380.6,364.4,379.65
19-Jan-15,379,383.9,374.1,380
20-Jan-15,384.65,384.65,378.9,382
21-Jan-15,382.6,393.5,381.05,393.2
22-Jan-15,394.6,397.6,391.05,396
23-Jan-15,398,400,390.6,392.55
27-Jan-15,391.9,394.7,379,384
28-Jan-15,382.4,388.7,380.5,385
29-Jan-15,365,379.7,364.2,378.3
30-Jan-15,362,364.2,360.05,361.15
02-Feb-15,354.25,357,350.15,355
03-Feb-15,355.05,359.95,353.6,356.65
04-Feb-15,357.2,368.8,357.1,364.6
05-Feb-15,366.4,374.95,366.25,368.8
06-Feb-15,369,370.25,359.1,364.05
09-Feb-15,360.95,362.4,358,359
10-Feb-15,358.05,369,358.05,368.5
11-Feb-15,369,376.9,369,372.05
12-Feb-15,372.35,374.7,365,368.25
13-Feb-15,363.3,379.9,363,376.9
16-Feb-15,377.65,383.85,375.1,377.1
18-Feb-15,377.6,384.7,377.1,380.1
19-Feb-15,380.45,390,375.85,380
20-Feb-15,381.6,385,377.3,382.45
23-Feb-15,384.85,386.8,382.2,383.5
24-Feb-15,387,390.25,382.8,385.1
25-Feb-15,387.8,389.8,383.85,386.95
26-Feb-15,385.55,386.95,378.5,384.5
27-Feb-15,386.4,398,384.95,394.25
28-Feb-15,398,398.9,390.25,394.45
02-Mar-15,394.8,398.2,386.1,395
03-Mar-15,373.5,382,373,379
04-Mar-15,382,382,370,370.75
05-Mar-15,372,375.2,362,363.75
09-Mar-15,361.9,369.15,356.1,358
10-Mar-15,359,371.8,358.15,371.6
11-Mar-15,369,370.7,366,368.9
12-Mar-15,369.85,372.25,363,365.55
13-Mar-15,366.95,369.5,363.5,364.7
16-Mar-15,367,367,361.05,365.15
17-Mar-15,368,368.4,359.65,362.2
18-Mar-15,362.2,365.75,361.05,365.5
19-Mar-15,366.5,369.5,363,366
20-Mar-15,365.95,371,363.6,368
23-Mar-15,368,370.35,363.1,369
24-Mar-15,367.55,373,366.55,370
25-Mar-15,371.4,371.4,360.1,360.5
26-Mar-15,358.85,360,350,354.15
27-Mar-15,353.15,354.45,346.4,348.7
30-Mar-15,350.95,359.95,346.65,358.6
31-Mar-15,360,365.95,359.55,361.95
01-Apr-15,362.9,364.25,358,363
06-Apr-15,364.05,364.6,358.7,359.3
07-Apr-15,360.75,362.4,356.4,359.6
08-Apr-15,365.25,382.7,365.1,382
09-Apr-15,383.35,389.4,378.9,386.85
10-Apr-15,383.95,390.2,383.9,387.75
13-Apr-15,389.4,395.7,383.8,392.5
15-Apr-15,391.7,391.7,384,384.85
16-Apr-15,385.95,386.05,381.6,381.95
17-Apr-15,382.05,385.15,379.05,382
20-Apr-15,381.85,382.75,370.55,372.05
21-Apr-15,372.05,378.7,372.05,374.4
22-Apr-15,374.25,380.9,373.45,379.5
23-Apr-15,382,385.9,380.9,384
24-Apr-15,384,384.85,374.15,377.9
27-Apr-15,377.3,380,370.7,376.15
28-Apr-15,377,378,370.8,372
29-Apr-15,371,375.05,369.65,370.4
30-Apr-15,368.2,370.4,359.2,363.85
04-May-15,366,371.4,363.1,371.4
05-May-15,368.9,368.9,361.5,364.05
06-May-15,362.15,364,352.15,353
07-May-15,353.8,362.1,352.5,360.55
08-May-15,362.3,365.95,358.4,363.2
11-May-15,365,374.9,365,373.15
12-May-15,373.95,376.6,367,369.7
13-May-15,370.2,372.65,365,369.6
14-May-15,368.95,371.5,363.6,369.45
15-May-15,370.95,371.3,364.6,366.15
18-May-15,367.85,368.85,364.2,365.9
