Date,Open,High,Low,LTP
01-Jan-15,1130,1131.15,1120.1,1125.9
02-Jan-15,1127.3,1176.95,1125.35,1171.05
05-Jan-15,1168.8,1175,1150.4,1154.95
06-Jan-15,1148.6,1148.6,1096.1,1098
07-Jan-15,1097.5,1114.15,1095,1097.65
08-Jan-15,1114,1128.5,1110,1122.15
09-Jan-15,1127,1135.95,1103.4,1110
12-Jan-15,1114.35,1135,1098.4,1129.15
13-Jan-15,1134.4,1137.3,1113.6,1123.1
14-Jan-15,1128.7,1136.85,1112.6,1120.9
15-Jan-15,1145.05,1210.9,1144.7,1194
16-Jan-15,1207.5,1209,1191,1198
19-Jan-15,1198,1204.65,1178.15,1181
20-Jan-15,1185.1,1257.75,1181.05,1250
21-Jan-15,1259,1297.4,1252.25,1289.05
22-Jan-15,1287,1294.85,1272,1280
23-Jan-15,1288.7,1340.95,1280.2,1281.6
27-Jan-15,1303.9,1320,1288.55,1312.1
28-Jan-15,1323.95,1361.85,1300.7,1345
29-Jan-15,1338.15,1343.9,1295.4,1310
30-Jan-15,1328.4,1333,1257.75,1276
02-Feb-15,1262.5,1284.5,1243.6,1264.3
03-Feb-15,1262.5,1272,1225.9,1233.85
04-Feb-15,1231.05,1252,1221.1,1230
05-Feb-15,1236.9,1292,1208.15,1243.85
06-Feb-15,1245,1289.8,1244.3,1282.9
09-Feb-15,1267,1279.25,1245.55,1267.65
10-Feb-15,1254.1,1293,1232.3,1241.45
11-Feb-15,1248.9,1267.7,1242.25,1249
12-Feb-15,1254.95,1260,1240.4,1254.95
13-Feb-15,1253.9,1275,1243.65,1267
16-Feb-15,1282.5,1300,1267,1288.7
18-Feb-15,1295,1335,1291.75,1323.35
19-Feb-15,1330,1357.35,1323.55,1347
20-Feb-15,1350,1353.45,1325,1330
23-Feb-15,1333.15,1338.7,1306.8,1311
24-Feb-15,1311.9,1321.95,1296.75,1309
25-Feb-15,1311,1349.55,1311,1341.9
26-Feb-15,1348,1374.2,1336.2,1349.65
27-Feb-15,1354.9,1368.75,1335.6,1350.6
28-Feb-15,1361.45,1380,1310.15,1341.2
02-Mar-15,1342.1,1370,1319,1340
03-Mar-15,1341,1373,1341,1369.65
04-Mar-15,1390,1402.3,1355.5,1372
05-Mar-15,1367.7,1402.15,1366.4,1393
09-Mar-15,1397.5,1397.5,1351.8,1362
10-Mar-15,1365.1,1365.15,1307.15,1318.8
11-Mar-15,1320.8,1338.5,1310.35,1323.25
12-Mar-15,1332.9,1343.45,1316.35,1331.4
13-Mar-15,1351,1368,1322,1328
16-Mar-15,1327,1327,1293.6,1309.5
17-Mar-15,1311.9,1347.65,1307.1,1335.85
18-Mar-15,1340.9,1343.65,1315,1325
19-Mar-15,1336,1354.6,1317.4,1332
20-Mar-15,1324,1343.85,1308,1335
23-Mar-15,1332.2,1348.9,1327.5,1345
24-Mar-15,1337.55,1386.75,1337.25,1365
25-Mar-15,1362,1380.95,1342.2,1342.55
26-Mar-15,1339.3,1339.3,1273,1298.9
27-Mar-15,1290.65,1299,1257.45,1264
30-Mar-15,1274.9,1308.9,1271.15,1306.5
31-Mar-15,1314,1322.95,1297.75,1316
01-Apr-15,1318.95,1341.9,1305.5,1339.95
06-Apr-15,1354.15,1354.15,1303.3,1328
07-Apr-15,1332.65,1341.75,1312.55,1329
08-Apr-15,1330.25,1335.3,1297.1,1300
09-Apr-15,1309.9,1316.55,1286.5,1307.45
10-Apr-15,1304.7,1308.65,1282.95,1289
13-Apr-15,1299.9,1312,1291.2,1301.85
15-Apr-15,1313,1313.5,1279.6,1294.3
16-Apr-15,1294.8,1310,1281.1,1304
17-Apr-15,1306.7,1315.95,1297.2,1297.2
20-Apr-15,1295,1305.75,1256.2,1256.75
21-Apr-15,1266.65,1276.8,1243.3,1258.15
22-Apr-15,1261.1,1285,1258,1273.2
23-Apr-15,1283,1297.65,1267,1272.5
24-Apr-15,1257.7,1257.7,1257.7,1257.7
24-Apr-15,1271,1275,1234.1,1251.5
27-Apr-15,1251.9,1255,1196.65,1210.6
28-Apr-15,1214,1236.4,1188.6,1228.75
29-Apr-15,1225,1237,1191.1,1197.65
30-Apr-15,1199.3,1200,1160.1,1180
04-May-15,1179.9,1205.75,1173.45,1202.5
05-May-15,1197,1201.8,1178.1,1178.65
06-May-15,1179.95,1179.95,1151.2,1164
07-May-15,1161.65,1172.85,1147,1150
08-May-15,1167.45,1200,1160.6,1188.8
11-May-15,1195,1230.55,1191.6,1223
12-May-15,1223,1223,1184.45,1189
13-May-15,1195.5,1228.7,1187.85,1220
14-May-15,1224.4,1224.4,1192,1207
15-May-15,1215,1236.45,1205.75,1231.25
18-May-15,1234,1271,1227,1268.25
19-May-15,1258,1264.2,1232.25,1236.05
20-May-15,1245,1273.4,1242.3,1267
21-May-15,1266.2,1273.4,1245.25,1255
22-May-15,1256.4,1292.95,1252.1,1287
25-May-15,1280,1288,1250,1254.95
26-May-15,1252.1,1260,1233.45,1244.95
27-May-15,1231,1245,1229,1239.4
28-May-15,1242,1249.3,1206.55,1223
29-May-15,1229,1248,1218.75,1234.05
01-Jun-15,1236.1,1255,1236.1,1245
02-Jun-15,1247,1250.1,1197.05,1204.6
03-Jun-15,1202.55,1217.85,1194,1203.25
04-Jun-15,1209.2,1225,1190,1223.95
05-Jun-15,1213,1217,1193.8,1197.1
08-Jun-15,1202,1205,1171,1177.5
09-Jun-15,1179.5,1196,1176.65,1188.2
10-Jun-15,1182.1,1205,1182.1,1192.6
11-Jun-15,1198,1200,1157.95,1161
12-Jun-15,1156,1194.9,1156,1190.05
15-Jun-15,1189.9,1218,1183.35,1210.75
16-Jun-15,1210.3,1213.95,1180.25,1205.45
17-Jun-15,1208,1217.9,1196.3,1197.75
18-Jun-15,1201,1219.6,1200,1212.4
19-Jun-15,1222.9,1247.55,1219,1237.05
22-Jun-15,1240,1274.5,1238.1,1270
23-Jun-15,1272.8,1288.7,1260.25,1281.3
24-Jun-15,1283.5,1294.85,1265.7,1277
25-Jun-15,1278.2,1314,1273.75,1311.55
26-Jun-15,1305,1310,1275.2,1289.5
29-Jun-15,1265.5,1293.4,1260,1290
30-Jun-15,1289.9,1302.85,1278.25,1298
01-Jul-15,1296,1302.95,1287.75,1293.55
02-Jul-15,1293.55,1297.9,1280.3,1288.2
03-Jul-15,1286.9,1323,1278.5,1317.2
06-Jul-15,1304.2,1321.25,1298.75,1316.25
07-Jul-15,1324,1347.4,1320,1335.2
08-Jul-15,1324.85,1332.25,1285.1,1287.55
09-Jul-15,1291.1,1299.1,1281.85,1284.5
10-Jul-15,1287.8,1294.3,1278.9,1281
13-Jul-15,1298,1327,1282.05,1320.05
14-Jul-15,1322.6,1322.95,1309.1,1316.9
15-Jul-15,1316.75,1343.95,1311.5,1337.8
16-Jul-15,1342,1372.4,1342,1358.6
17-Jul-15,1359.9,1359.9,1323.7,1327.95
20-Jul-15,1332.65,1333.4,1303,1316.85
21-Jul-15,1315.35,1329.35,1306.15,1310.95
22-Jul-15,1306,1349.95,1303.35,1344
23-Jul-15,1349.9,1357.45,1341.5,1350.75
24-Jul-15,1355,1365,1336.65,1356
27-Jul-15,1353.45,1359.15,1329.8,1335
28-Jul-15,1332,1337,1298.65,1300
