Date,Open,High,Low,LTP
01-Jan-15,157.4,159,155.4,158.95
02-Jan-15,158.9,161.2,158.35,160
05-Jan-15,161,161.95,155.5,157
06-Jan-15,156.3,156.3,151.15,153.5
07-Jan-15,153.8,154.5,146.7,148.85
08-Jan-15,150.7,153.2,148.55,153
09-Jan-15,153.1,155.25,152.1,155
12-Jan-15,155.2,155.2,150.5,151
13-Jan-15,152.1,154.4,150.75,151.65
14-Jan-15,150.95,151.35,140.8,142.05
15-Jan-15,143.55,145.75,138.35,141.5
16-Jan-15,141.5,143.4,137.75,138.9
19-Jan-15,140.95,141.7,139.5,140.35
20-Jan-15,141,145.2,141,144.75
21-Jan-15,145.65,146.35,140.5,143
22-Jan-15,143.05,144.9,141.1,143.05
23-Jan-15,145.6,146.25,142.1,144.6
27-Jan-15,139.9,144.5,139,142.15
28-Jan-15,141.75,143.1,139.65,140.35
29-Jan-15,139.9,142.9,138.25,142.2
30-Jan-15,143,143.1,138.6,140.25
02-Feb-15,140,145.7,139.5,145.2
03-Feb-15,145.85,148.5,142.9,145.15
04-Feb-15,147,153.8,146,151.75
05-Feb-15,152.3,153.9,146.75,148.05
06-Feb-15,148,150,145.65,147.3
09-Feb-15,146.3,149,145.5,146.9
10-Feb-15,148.5,153.7,146.55,149.4
11-Feb-15,149.55,151.5,147.05,149.65
12-Feb-15,151.8,153.4,149.05,153
13-Feb-15,153,156.1,152,153.15
16-Feb-15,157,158,150.25,151
18-Feb-15,151,152.45,149.6,151.05
19-Feb-15,151,157.8,150.1,155.7
20-Feb-15,158,160.7,155.2,158
23-Feb-15,161.6,161.8,154.2,154.6
24-Feb-15,155,156.9,151.4,154.05
25-Feb-15,154.6,155.45,152.25,153.65
26-Feb-15,153.1,154,148,150.5
27-Feb-15,150.55,155.8,149.8,155.4
28-Feb-15,156.3,156.7,151,153.3
02-Mar-15,154.2,157.4,153.5,156.45
03-Mar-15,157.5,159.3,156.15,158.1
04-Mar-15,160,160,152.3,153
05-Mar-15,153.05,154,146.9,147.5
09-Mar-15,149.4,149.85,140,140.6
10-Mar-15,142.6,142.6,136.65,137.9
11-Mar-15,138.85,138.85,127.2,131
12-Mar-15,131.75,135.7,129.1,134.5
13-Mar-15,136.7,136.75,131.05,131.95
16-Mar-15,131,131.4,123.1,127.4
17-Mar-15,128,134.75,126.8,133.75
18-Mar-15,134,134.8,131.8,132.95
19-Mar-15,134,136.2,131.3,132
20-Mar-15,132.15,135,130.55,132.2
23-Mar-15,131.95,136.8,131.95,136.3
24-Mar-15,135.8,135.9,132,133.2
25-Mar-15,133,134.45,132.35,132.9
26-Mar-15,132.4,133.4,128.55,130.1
27-Mar-15,131,134.45,130.05,133.95
30-Mar-15,134.25,134.7,130.3,131.4
31-Mar-15,133,133.45,128.4,128.65
01-Apr-15,129,132.9,127.5,132.2
06-Apr-15,133.4,135.1,132,134.75
07-Apr-15,135,137.55,134.2,137.15
08-Apr-15,137.25,138.9,136.15,137.3
09-Apr-15,138.6,140.85,136.6,139.55
10-Apr-15,139,139.2,137.05,137.7
13-Apr-15,138,138.95,135.1,137
15-Apr-15,136,137.4,134.6,135.3
16-Apr-15,135.85,137.9,135.4,136.8
17-Apr-15,138,141.7,137.6,140
20-Apr-15,140.9,141.7,137.2,137.5
21-Apr-15,138.4,139.35,133.7,134.3
22-Apr-15,133.5,135.5,132.6,134.4
23-Apr-15,135.5,137,133.8,135.1
24-Apr-15,134.85,135.8,130.1,131.7
27-Apr-15,132,132.95,128.25,129.6
28-Apr-15,130.9,132.45,129.6,131.3
29-Apr-15,131.4,131.4,128.7,131.2
30-Apr-15,130,130.9,127.05,128.6
04-May-15,130.4,133.6,129.5,133.45
05-May-15,133.45,140.2,132.35,139.15
06-May-15,138.9,142,135.05,137.45
07-May-15,136.9,136.9,132.25,134.5
08-May-15,135.2,139.5,134.85,139.1
11-May-15,140.8,145.1,140.2,142.25
12-May-15,142.4,142.5,136.2,138.15
13-May-15,134.9,136.4,131.75,133.4
14-May-15,134.1,138,132.5,137.6
15-May-15,137.7,138.75,134.55,137
18-May-15,138,141.85,137.9,138.5
19-May-15,138.85,140.55,136.6,140
20-May-15,140.65,140.65,138.15,138.6
21-May-15,137.7,139.9,136.25,138.9
22-May-15,139,139,136.5,136.7
25-May-15,136.75,138.4,133.9,134.85
26-May-15,135.15,135.65,133.2,134.9
27-May-15,133,134.6,132.2,134
28-May-15,132.6,134,129.8,131.2
29-May-15,130.95,133.2,128.55,129
01-Jun-15,128.75,129.8,127.75,128.45
02-Jun-15,128.95,129.2,122.9,123.5
03-Jun-15,124.05,124.9,120,122.2
04-Jun-15,122.3,123.55,119,121.15
05-Jun-15,120.95,122.3,119.15,120.05
08-Jun-15,120.25,121.15,117.7,118
09-Jun-15,118,121.3,117.55,119.85
10-Jun-15,120.5,121.8,119.65,119.9
11-Jun-15,120.7,121.5,118.6,119.7
12-Jun-15,118.75,119.25,116.1,116.5
15-Jun-15,116.2,117.15,113.8,113.9
16-Jun-15,114.65,115.5,113.6,115.5
17-Jun-15,115,119.15,114.8,118.6
18-Jun-15,118.5,120.6,117.65,120.2
19-Jun-15,122.85,123.4,120,120.4
22-Jun-15,121,122,119.9,121.1
23-Jun-15,122.6,124.45,121.25,121.85
24-Jun-15,121.95,122.75,116.6,116.95
25-Jun-15,117,118.5,115.65,118.4
26-Jun-15,117.9,118.35,115.95,117.15
29-Jun-15,115,115.2,111,112.9
30-Jun-15,112.9,113.5,111.25,111.85
01-Jul-15,112.3,113.9,112.15,113.3
02-Jul-15,113.55,114.6,110.7,111.05
03-Jul-15,111,111.45,109.65,110.65
06-Jul-15,108.2,109.5,107.25,109
07-Jul-15,108.9,109,106.7,106.9
08-Jul-15,105.5,105.5,99.05,101.6
09-Jul-15,102.2,104.9,100.7,104.2
10-Jul-15,105,105.35,102.35,104.6
13-Jul-15,104.2,106.95,102.15,106.6
14-Jul-15,106.6,106.75,104.3,104.5
15-Jul-15,104.7,106.4,104.7,105.8
16-Jul-15,105.75,107.05,104.6,106.8
17-Jul-15,107.1,108.25,106.15,107
20-Jul-15,107.5,110.3,107.1,108.95
21-Jul-15,109.1,111.75,106.05,108
22-Jul-15,107.9,108.9,105.55,107.5
23-Jul-15,107.95,109.3,106.45,108.5
24-Jul-15,108,110.25,107.75,109.1
27-Jul-15,108.5,108.5,103.95,104.05
28-Jul-15,103.15,106.65,102.25,105.3
29-Jul-15,105.8,108.15,105.7,106.5
30-Jul-15,106.85,107.3,104.25,104.9
31-Jul-15,105.5,107.3,104.5,105.1
03-Aug-15,105.25,106.5,104.7,105.6
04-Aug-15,106,110.4,105.75,109.55
05-Aug-15,110,111.9,107.85,108.1
06-Aug-15,108.95,110,107.5,108.55
07-Aug-15,108.15,112.25,108,109.6
10-Aug-15,110,111.75,106.75,107
11-Aug-15,108,108.3,102.85,103.25
12-Aug-15,102.8,102.9,95.55,95.9
13-Aug-15,97,98,90.4,91
14-Aug-15,91,95.35,89.5,93
17-Aug-15,93.5,93.7,89.7,90.7
18-Aug-15,91.6,92.95,87.9,88.6
19-Aug-15,88.9,88.9,85.8,86.15
20-Aug-15,86,86.25,83.6,85.1
21-Aug-15,83,86.3,82.05,86.25
24-Aug-15,83.5,83.5,76.1,79
25-Aug-15,81.25,82.25,75.25,80.5
26-Aug-15,80.7,81.8,79,80
27-Aug-15,82.9,82.9,79.15,80.55
28-Aug-15,83.3,84.7,80.1,81.8
31-Aug-15,81.05,82.7,79.75,80.1
01-Sep-15,79.45,79.6,75.6,75.7
02-Sep-15,76.1,76.9,74.15,74.6
03-Sep-15,75.2,78.35,75,77.05
04-Sep-15,76.95,77,73.5,73.75
07-Sep-15,74.15,74.25,71.4,71.65
08-Sep-15,72.35,74.5,71.6,72.65
09-Sep-15,75.15,79.2,74,78.3
10-Sep-15,76.5,77.15,74.45,76.4
11-Sep-15,77.8,78.1,75.55,76.15
14-Sep-15,76.8,79.15,75.9,78.95
15-Sep-15,78.3,78.65,75.7,76.35
16-Sep-15,77.5,78.25,75.25,77.4
18-Sep-15,77.9,79,75.35,75.5
21-Sep-15,75.25,78.8,74.2,78.3
22-Sep-15,76.95,77,72.75,72.9
23-Sep-15,72,74.25,71.3,73
24-Sep-15,73.3,73.45,71.2,71.45
28-Sep-15,71.9,73,70.25,70.5
29-Sep-15,69.5,69.8,67.5,68.1
30-Sep-15,69.4,71.5,69,71.3
01-Oct-15,71.65,72.1,70.25,71.1
