Date,Open,High,Low,LTP
01-Jan-15,759.3,761.9,754.15,759.5
02-Jan-15,757,766,752.65,757.05
05-Jan-15,759.75,761.9,755.1,759.9
06-Jan-15,767,779.9,755.4,772
07-Jan-15,779,806.8,779,799.5
08-Jan-15,803.9,825,803.15,816.9
09-Jan-15,818.5,868.4,817.05,864.85
12-Jan-15,867.5,899.8,864.25,899
13-Jan-15,899.95,908.65,876.4,884.45
14-Jan-15,888.8,934.5,886,930.15
15-Jan-15,934.95,937.4,909.7,923
16-Jan-15,928,947,925,947
19-Jan-15,946.3,947.4,886.05,893.7
20-Jan-15,889.9,903,877.75,896
21-Jan-15,897,948.4,888.5,943.25
22-Jan-15,944,961.3,931.3,944.3
23-Jan-15,947,968.85,944.65,963.5
27-Jan-15,962.1,967.9,936.6,940.3
28-Jan-15,938,940.8,928.15,931.7
29-Jan-15,931,948,926.4,937
30-Jan-15,941,941,927.8,933.8
02-Feb-15,926.35,929.95,904.8,907.95
03-Feb-15,910.2,930.85,908,912.75
04-Feb-15,910.9,919.8,895.1,899.9
05-Feb-15,907.3,919.8,901.2,908.5
06-Feb-15,906,915.85,899.4,909.95
09-Feb-15,905.75,914.6,895.9,898.8
10-Feb-15,895,907.5,885.4,888.35
11-Feb-15,890.35,902.95,884.6,901
12-Feb-15,905,910.8,885.3,891.05
13-Feb-15,892.4,898.8,885.2,892
16-Feb-15,886.35,920,886.35,906.75
18-Feb-15,902,923.35,902,913.65
19-Feb-15,919.95,922.8,895,909
20-Feb-15,905.5,909.7,899,901.05
23-Feb-15,903,913.85,883.05,883.5
24-Feb-15,889,915.6,887,914.3
25-Feb-15,916.5,917.5,894,905.95
26-Feb-15,905.7,905.7,883.8,888.5
27-Feb-15,889.8,893,880.4,887.4
28-Feb-15,894,917.65,889.15,910.6
02-Mar-15,914,939.95,906.1,936.5
03-Mar-15,939.9,939.9,923.25,932.8
04-Mar-15,931.1,945.3,913,915
05-Mar-15,913.45,946.35,913.45,939
09-Mar-15,936,981,931,972
10-Mar-15,978.3,978.65,951.05,955.5
11-Mar-15,957.15,978.9,949.45,969
12-Mar-15,968,972.8,955.6,960.8
13-Mar-15,963.7,964.9,938.95,943
16-Mar-15,939.45,957.25,902.5,927.4
17-Mar-15,934.95,946.8,921.4,930
18-Mar-15,932.4,937.25,911.5,921.6
19-Mar-15,931,940.8,916.65,918.35
20-Mar-15,922,922,892,900.05
23-Mar-15,899.7,910,892.35,902
24-Mar-15,896.2,901.15,885.35,889
25-Mar-15,889.75,897.6,883,886
26-Mar-15,884.85,885,858.2,870
27-Mar-15,870.5,870.9,848.95,853.45
30-Mar-15,857.95,871,852,860.55
31-Mar-15,862.95,884,858,872
01-Apr-15,873.5,885.8,871.5,880.5
06-Apr-15,883.65,910.8,882.5,910
07-Apr-15,911.35,919.05,897.6,916.3
08-Apr-15,914.9,921.65,909.4,914.7
09-Apr-15,913.9,932,913.6,926.7
10-Apr-15,929.9,935.8,916.35,931.6
13-Apr-15,931.35,950.95,928,945
15-Apr-15,942.9,948.95,933,936.35
16-Apr-15,932.5,937.8,918.1,934
17-Apr-15,936.7,944.2,928.85,937.75
20-Apr-15,938.4,940.75,905.6,914
21-Apr-15,914.05,919.85,870.35,873.1
22-Apr-15,887.45,913,875,909.7
23-Apr-15,911,922,892.8,898.05
24-Apr-15,903.95,903.95,873.75,888
27-Apr-15,885,901.8,860.25,860.35
28-Apr-15,863.35,873.9,851.5,859
29-Apr-15,860.4,875,852.15,857
30-Apr-15,857.25,859.45,832.2,855.45
04-May-15,860,865.7,844.15,858.15
05-May-15,858,883.4,854,879
06-May-15,879,879,850.1,855.4
07-May-15,860,871.75,853.7,867.15
08-May-15,875.7,907.05,854.5,894.55
11-May-15,899.8,901,862.2,863.45
12-May-15,867,873.55,841.65,843
13-May-15,850.1,855.65,827.1,841.1
14-May-15,842.8,850.85,831,846.2
15-May-15,848,852.3,840.1,846.7
18-May-15,848,854.9,837.5,854
19-May-15,852.4,855.85,841.25,843.95
20-May-15,847.2,858.15,846,854.35
21-May-15,856.4,865.9,848.05,865
22-May-15,867.45,868.85,853.95,865
25-May-15,864.95,864.95,847.55,853
26-May-15,855,858.15,845.95,856.8
27-May-15,855.5,860,845.7,860
28-May-15,858.7,860,842.35,844
29-May-15,847.5,860.7,843.1,858.4
01-Jun-15,859.55,883.5,852.45,877.65
02-Jun-15,884,884.65,850.9,852
03-Jun-15,853,854.7,828.6,833
04-Jun-15,833.5,835,820.05,822.45
05-Jun-15,821.6,847.3,816.35,827.85
08-Jun-15,828,829,809,811
09-Jun-15,807,828.55,806.1,819
10-Jun-15,818.25,825,814,819
11-Jun-15,820,836.5,816,817.1
12-Jun-15,813.35,821.5,810.85,812.5
15-Jun-15,814,827.45,808.45,820.1
16-Jun-15,818.1,839.35,817.3,836
17-Jun-15,840,868.85,840,863
18-Jun-15,862,868,857.1,862
19-Jun-15,851.1,864.9,844.85,860.05
22-Jun-15,863.9,876,858.45,874
23-Jun-15,878,879.8,871.35,877
24-Jun-15,877.5,908.9,877,891
25-Jun-15,888.55,897.9,879.1,887
26-Jun-15,884,891.4,875,888.9
29-Jun-15,872,905,868.35,905
30-Jun-15,907,923.1,906,915
01-Jul-15,916.7,926,912,920.05
02-Jul-15,919.8,929.2,912,924
03-Jul-15,922,929.5,917.05,926.3
06-Jul-15,917,930,914.65,925
07-Jul-15,921.6,927.4,915.6,925
08-Jul-15,920,944,918.1,922.05
09-Jul-15,927.65,934.8,912.4,920
10-Jul-15,924.5,924.5,891.3,895.95
13-Jul-15,900.8,914.5,890.5,913
14-Jul-15,910.5,929.1,902.8,926.7
15-Jul-15,927,935,920.35,928.15
16-Jul-15,930,939.5,923.25,938.8
17-Jul-15,937.05,941.95,922.25,925.35
20-Jul-15,924,931.5,909.05,913
21-Jul-15,915,916.85,871.1,893
22-Jul-15,894,923,891.15,917.55
23-Jul-15,919,919,895.2,904.9
24-Jul-15,905,911.45,897.6,907
27-Jul-15,906,910.15,895,899
28-Jul-15,893.25,916,891.5,904.8
29-Jul-15,906.15,919.05,897,899
30-Jul-15,905,934.45,899.2,920.9
31-Jul-15,920.3,928.2,913.2,922.9
03-Aug-15,921,924.8,906.5,911
04-Aug-15,910.5,914.45,900.05,910
05-Aug-15,910.7,912.85,905,909.15
06-Aug-15,910,910.4,902.55,908
07-Aug-15,907.75,909.05,900.9,907
10-Aug-15,905,909,901,906
11-Aug-15,903,905.85,885,886.95
12-Aug-15,889,889,859.6,862
13-Aug-15,866,879,850,870.95
14-Aug-15,871,879,857.5,873
17-Aug-15,874.45,879,860,871.9
18-Aug-15,872,877.85,868.05,874
19-Aug-15,869.35,885.25,861.4,875.1
20-Aug-15,870,901.85,867,873.7
21-Aug-15,867,888,860.95,886.5
24-Aug-15,865.35,880,844.95,863.3
25-Aug-15,861,878,855.1,865
26-Aug-15,866.25,868.55,850,851
27-Aug-15,860.65,864.45,851,862.5
28-Aug-15,870,870.5,852,854
31-Aug-15,862.9,870,848.8,862.75
01-Sep-15,855,861.35,848.35,853.65
02-Sep-15,857,862.4,824.2,826
03-Sep-15,830.5,841.75,815.1,836.25
04-Sep-15,831.35,840.75,823.2,830.5
07-Sep-15,831,834,817.4,820
08-Sep-15,827.8,827.8,785,802.5
09-Sep-15,806,812.45,790.9,804.75
10-Sep-15,801,801,777.6,792.3
11-Sep-15,792,799.7,784.05,797
14-Sep-15,800.9,800.9,788.1,794.9
15-Sep-15,794.75,808.65,791.15,804.6
16-Sep-15,811,811.8,796.75,804.5
18-Sep-15,807,816.8,793,799
21-Sep-15,795,799.9,788.4,791
22-Sep-15,792,796.85,783.2,786.75
23-Sep-15,788.8,789.4,780.15,787
24-Sep-15,789,789,776.25,783.3
28-Sep-15,785,802.5,780.8,791.5
29-Sep-15,782.6,801,781.35,788.8
30-Sep-15,799.8,818,787,816.45
01-Oct-15,817.8,827.25,811.2,814
05-Oct-15,820.55,824,801,809.9
06-Oct-15,816.95,832,811.9,829
07-Oct-15,818,828,816,822
08-Oct-15,827,831.95,817.5,818.2
09-Oct-15,826,830.4,810,819.05
12-Oct-15,819,822.5,807.35,815.75
13-Oct-15,817,819,805.8,811.95
14-Oct-15,814.05,815,787,790.25
15-Oct-15,783,801,769,792.9
16-Oct-15,788,790.9,782,785
19-Oct-15,784.9,796.95,778,794
20-Oct-15,797.45,797.45,783,787.65
21-Oct-15,788,794.45,787,790.45
23-Oct-15,795,805.6,791.25,802
26-Oct-15,802.8,810,800.65,809.4
27-Oct-15,806.75,814.85,799.2,811.2
28-Oct-15,811.6,820.5,807.9,819.25
29-Oct-15,811,818,799.2,801.8
30-Oct-15,802,810.95,795,802
02-Nov-15,799.25,804.85,791.55,802.2
03-Nov-15,805,808.5,801.2,802.7
04-Nov-15,806.8,818.1,799.2,801
05-Nov-15,801,811.6,797.75,801.1
06-Nov-15,806.7,806.95,796.3,801
09-Nov-15,794,807,784,801.05
10-Nov-15,802,809.6,793.4,805.8
11-Nov-15,805.8,809.9,804.05,808.15
13-Nov-15,792.35,799.5,792.35,796
16-Nov-15,794,802.1,780.1,781.5
17-Nov-15,785.9,800,782,798
18-Nov-15,798,806.85,790.45,795.7
19-Nov-15,797.5,801.85,792.3,794.9
20-Nov-15,799.85,803.45,794.3,798
23-Nov-15,795.05,800.7,787,790.65
24-Nov-15,794,813.5,790.75,812.8
26-Nov-15,814.7,821.5,808.15,811.5
27-Nov-15,812.5,820.75,808,820
30-Nov-15,813.5,826,804.1,812
01-Dec-15,811.85,836.8,811.85,833.85
02-Dec-15,832.9,835.7,823.4,828.05
03-Dec-15,827.85,827.9,814,817.1
04-Dec-15,813.35,824.45,805,816.6
07-Dec-15,815,835.5,815,831.1
08-Dec-15,831.9,839.8,822.6,824.05
09-Dec-15,827,835,816.15,823.3
10-Dec-15,823,830.85,812.25,818.3
11-Dec-15,818.3,831.95,816.65,821
14-Dec-15,825,842.5,813.45,841.45
15-Dec-15,839.2,862.5,839.2,861.15
16-Dec-15,865,868.4,852.7,858
17-Dec-15,840,865.7,840,864
18-Dec-15,865.6,875.6,852.15,853
21-Dec-15,861.95,861.95,849.75,850.6
22-Dec-15,852.95,857.9,843.2,853.9
23-Dec-15,859.45,870.5,856.05,862.2
24-Dec-15,868,869.3,862,864.8
28-Dec-15,865,873,862.5,863
29-Dec-15,867,867,855,857.55
30-Dec-15,858,862.9,854.7,857.55
31-Dec-15,857.45,866.45,851.5,861.2
