Date,Open,High,Low,LTP
01-Jan-15,352.7,353.45,350.2,353
02-Jan-15,352,363.5,352,363
05-Jan-15,365.3,367.4,361.5,363.5
06-Jan-15,359.4,359.9,346.2,346.4
07-Jan-15,345.6,346.25,335.45,340.5
08-Jan-15,345,348.5,341.2,347.55
09-Jan-15,349.95,350.4,337.1,342.5
12-Jan-15,342.75,347.6,338.7,346.65
13-Jan-15,349,349,339.75,341.75
14-Jan-15,339.25,341.8,333,338.25
15-Jan-15,352.15,356,347.55,350.8
16-Jan-15,352.85,354.6,347.45,353.65
19-Jan-15,355.5,361.8,353.5,360.05
20-Jan-15,359.7,369.25,359.7,367
21-Jan-15,366.5,370.95,365.15,367.3
22-Jan-15,368.9,372.3,364.6,369
23-Jan-15,374.9,375.5,368.7,369
27-Jan-15,374.5,384.8,372.7,383.8
28-Jan-15,382.95,393.4,381.6,382.4
29-Jan-15,380.1,383.8,375.55,380.7
30-Jan-15,381.45,382,354.65,360.25
02-Feb-15,360.3,360.7,350,352.4
03-Feb-15,352,356.8,345.1,347
04-Feb-15,346.05,347.25,340.25,346
05-Feb-15,340.9,345.3,332.75,335.15
06-Feb-15,336,340,327.7,329.7
09-Feb-15,327.5,327.5,318.5,322.1
10-Feb-15,318.5,335,316.4,331.9
11-Feb-15,334.1,339.95,333.95,335
12-Feb-15,338.2,341.35,330,340.2
13-Feb-15,344,345.9,340.2,343.75
16-Feb-15,346.95,346.95,336.4,337.85
18-Feb-15,339.7,344,339.7,342.95
19-Feb-15,340.1,343.85,332.25,340
20-Feb-15,335,335.8,328.5,330.45
23-Feb-15,333,334.5,327,327.9
24-Feb-15,329.5,331.4,324.5,326.8
25-Feb-15,327.6,331,321.25,323.9
26-Feb-15,324.7,325.45,320.15,321.9
27-Feb-15,324.6,337.05,323,336
28-Feb-15,340.1,347.9,331.2,347.5
02-Mar-15,350.85,351.95,340.55,349.2
03-Mar-15,348,349.5,344.1,348.8
04-Mar-15,360,362,346.05,348.25
05-Mar-15,346.4,349.9,340.1,347
09-Mar-15,342,342.95,331.75,332.7
10-Mar-15,332.7,337.8,330.35,334.85
11-Mar-15,333.6,336.95,329,334.9
12-Mar-15,337.55,339.7,334.65,338.5
13-Mar-15,345,346,329,331
16-Mar-15,329.5,333,325.65,332.65
17-Mar-15,332,336.5,330.15,335.5
18-Mar-15,333.1,336.55,331.05,333.35
19-Mar-15,339.5,341.4,328.35,329.3
20-Mar-15,328.9,329.25,316.7,319.35
23-Mar-15,322.05,322.4,312.45,314
24-Mar-15,310.5,316.65,309.45,311.5
25-Mar-15,312,319,311.1,316.35
26-Mar-15,311,313.7,302.6,312.45
27-Mar-15,313,316.2,308.25,314.8
30-Mar-15,316.3,319.5,313.35,318.65
31-Mar-15,318.9,322.75,313.8,314.8
01-Apr-15,315,324.4,314.05,323.4
06-Apr-15,325.45,325.45,319.35,320.8
07-Apr-15,322.95,323.45,315,317.75
08-Apr-15,318.9,319.7,314.55,315.55
09-Apr-15,318,321.9,316.9,320.7
10-Apr-15,319.5,321.65,317.2,318.2
13-Apr-15,319.9,319.9,316,317
15-Apr-15,318.35,322.3,313.05,313.9
16-Apr-15,315.9,316,310.15,312.1
17-Apr-15,314.05,314.95,308.25,310.9
20-Apr-15,312.9,317.6,308.3,311.6
21-Apr-15,311,316.6,309.95,310.85
22-Apr-15,313.25,315,303.4,312.95
23-Apr-15,314.25,315.9,309.75,312.05
24-Apr-15,312.45,312.55,307.1,308.5
27-Apr-15,310.7,312.45,296.7,305
28-Apr-15,305.6,328.6,305.6,325.65
29-Apr-15,327.8,334.8,325.1,331.3
30-Apr-15,331,333.6,325.2,332.6
04-May-15,332.75,336.9,326.2,329.75
05-May-15,329.3,330.9,327.1,327.2
06-May-15,326.9,338,310.15,312.15
07-May-15,312.2,313,300.6,304.1
08-May-15,310,318.9,310,316.9
11-May-15,320.05,325.8,319.1,323.5
12-May-15,323.55,324,307,308
13-May-15,313.15,319.15,306.5,318.95
14-May-15,317.7,317.95,311.25,315.4
15-May-15,315.3,316.45,310.55,312.35
18-May-15,315,316.9,312.9,316.1
19-May-15,313.95,318.9,312,315.4
20-May-15,316.25,321,316.25,318.05
21-May-15,320.2,320.8,312.7,314.3
22-May-15,315,318.15,311.75,313.15
25-May-15,312,314.1,310.95,312.7
26-May-15,312,313,308.65,310.4
27-May-15,311.8,314.8,307.5,313.9
28-May-15,314.25,316,311.5,315.75
29-May-15,317.1,318.9,314.8,317.7
01-Jun-15,317,319,316,316.45
02-Jun-15,317,317.5,303,303.75
03-Jun-15,304.25,304.25,290.8,296.9
04-Jun-15,291.8,292.8,285.45,289.45
05-Jun-15,291.2,292.4,283,284.5
08-Jun-15,285.65,285.65,280.35,282.5
09-Jun-15,282.9,287.8,282.05,286.9
10-Jun-15,287,294.35,286.7,293
11-Jun-15,296,297.2,286.5,289
12-Jun-15,289.5,297,287.15,296.15
15-Jun-15,295,300.35,293.2,298.5
16-Jun-15,297.05,303,293.9,302.6
17-Jun-15,304.25,304.3,300.05,300.85
18-Jun-15,304.55,305.7,302.35,303.05
19-Jun-15,300.4,306,300.4,305.2
22-Jun-15,306.4,315.9,306.05,315.25
23-Jun-15,314.95,316.8,312,313.45
24-Jun-15,313.7,320.4,312.65,316.15
25-Jun-15,316.35,319.65,313.2,315.7
26-Jun-15,315,315.05,308.55,312
29-Jun-15,302,313,300.15,312.15
30-Jun-15,310.05,313.6,304.05,308
01-Jul-15,308.7,313.5,308.7,312.45
02-Jul-15,314.3,315.45,311.1,313
03-Jul-15,311.75,315.5,310.9,315
06-Jul-15,309.1,316.75,305.25,316.05
07-Jul-15,314,318,311.55,313.4
08-Jul-15,308.4,311.6,306.3,307.2
09-Jul-15,307,310.95,305.7,310.2
10-Jul-15,312.5,314.9,310.25,312.7
13-Jul-15,314.5,317.2,312.8,316.5
14-Jul-15,317,317.1,312.05,312.7
15-Jul-15,313.9,316,313.35,315
16-Jul-15,314.75,318.25,314.4,316.9
17-Jul-15,318,321,316.55,317.1
20-Jul-15,318.95,319.8,312.1,315.6
21-Jul-15,317.5,317.5,310.4,312.6
22-Jul-15,310.8,317.7,309.8,317.55
23-Jul-15,316.85,317.7,312.25,312.6
24-Jul-15,311.8,311.8,299.3,301.4
27-Jul-15,299.85,299.85,290.1,292.3
28-Jul-15,291.7,295.35,282.7,285.25
29-Jul-15,287.5,289.9,284.05,288.9
30-Jul-15,290,293.65,287.5,291.05
31-Jul-15,294.45,308.9,294.1,300.8
03-Aug-15,304.45,314,304.2,312.25
04-Aug-15,313.5,315.25,307.05,315.25
05-Aug-15,314.75,319.8,309,311.25
06-Aug-15,312.75,312.85,307.45,311.5
07-Aug-15,309.9,312.55,308.45,310.75
10-Aug-15,310,314,307.15,308
11-Aug-15,309.9,309.9,300.75,303.4
12-Aug-15,300,300.15,290.1,292
13-Aug-15,295.25,298.7,290.85,292.95
14-Aug-15,294.25,303.8,292.05,302.8
17-Aug-15,301.95,304.7,296.85,302.4
18-Aug-15,303,304.2,297.7,301.05
19-Aug-15,301.05,305.4,300.5,305
20-Aug-15,300.25,306.75,295.85,299
21-Aug-15,293.75,297.9,288.6,295.55
24-Aug-15,282.4,284.85,267.5,269.1
25-Aug-15,276.55,284.4,267.15,284
26-Aug-15,279.95,282.25,275.7,279
27-Aug-15,282.75,284.5,280.2,282.65
28-Aug-15,285.05,289.3,281.65,284.45
31-Aug-15,282.9,284.35,276.35,278
01-Sep-15,275,278.45,268.3,271.35
02-Sep-15,276,276.75,263.1,264.25
03-Sep-15,268.65,269.8,261.7,267.1
04-Sep-15,264.9,265.1,254.65,258.1
07-Sep-15,260.05,261.25,247.7,249
08-Sep-15,251.8,262.3,249.2,262
09-Sep-15,267.95,269,262.65,263.3
10-Sep-15,260,270,256.25,269.9
11-Sep-15,267.35,269.9,264.4,266.8
14-Sep-15,266.25,273.3,263.1,271.8
15-Sep-15,273,273,266.8,268.5
16-Sep-15,272.5,273.95,269.05,272.3
18-Sep-15,278.25,285.35,274.8,275.4
21-Sep-15,271.9,280.35,271,280.15
22-Sep-15,278,280.35,269.1,269.9
23-Sep-15,266.95,275,264.15,274.25
24-Sep-15,271.4,273.6,267,268.1
28-Sep-15,272,272.7,266.45,268.3
