Date,Open,High,Low,LTP
01-Jan-15,1968.95,1982,1956.9,1971
02-Jan-15,1972,2019.05,1972,2017.95
05-Jan-15,2009.9,2030,1977.5,1996
06-Jan-15,1980,1985,1934.1,1965.1
07-Jan-15,1965,1974.75,1950,1966.05
08-Jan-15,1985.6,1997,1950,1979.25
09-Jan-15,1980.1,2109,1913.05,2075.3
12-Jan-15,2092,2119.2,2075,2112.95
13-Jan-15,2107.8,2107.8,2075,2092
14-Jan-15,2098.5,2133,2092.6,2129
15-Jan-15,2135.2,2152.8,2112.25,2130
16-Jan-15,2148,2160,2112,2115
19-Jan-15,2120,2132.35,2094.6,2105
20-Jan-15,2107,2133,2101.45,2119.2
21-Jan-15,2131.5,2175.95,2118,2172
22-Jan-15,2174.8,2203,2161.3,2194.95
23-Jan-15,2200,2225,2165.1,2211.9
27-Jan-15,2221,2221,2130.1,2137.55
28-Jan-15,2150,2154.8,2130.3,2144.45
29-Jan-15,2145,2149.9,2127.6,2147.8
30-Jan-15,2161.5,2162.55,2126.95,2141.85
02-Feb-15,2141.5,2152,2126.05,2137
03-Feb-15,2136.85,2139.95,2102,2124
04-Feb-15,2139.9,2150,2126.4,2143.8
05-Feb-15,2150.8,2220,2148,2186
06-Feb-15,2205,2247.8,2188.5,2228
09-Feb-15,2200,2254,2200,2245
10-Feb-15,2243,2298,2241,2268
11-Feb-15,2280.5,2293.2,2256.25,2287.8
12-Feb-15,2283,2321.95,2273,2309.9
13-Feb-15,2299.6,2326.7,2286,2294
16-Feb-15,2280.3,2306.9,2265.25,2282
18-Feb-15,2290.55,2304.95,2258.15,2292.05
19-Feb-15,2294,2334,2292.05,2323.2
20-Feb-15,2328.5,2336,2276.9,2280.5
23-Feb-15,2300,2309.2,2248.1,2265
24-Feb-15,2279,2295.95,2257.6,2270.2
25-Feb-15,2288.9,2334.8,2280,2314
26-Feb-15,2307.5,2309,2245.4,2259.65
27-Feb-15,2274.9,2280.65,2251.5,2268.7
28-Feb-15,2274.75,2307.9,2256.2,2298
02-Mar-15,2303,2308.5,2278.05,2287.5
03-Mar-15,2290,2302.95,2278.3,2298
04-Mar-15,2300,2313.9,2251.9,2275
05-Mar-15,2267.05,2298.75,2233.35,2249
09-Mar-15,2259,2259,2179,2188
10-Mar-15,2198.1,2206.95,2160.2,2200
11-Mar-15,2194.1,2240,2169.1,2179.9
12-Mar-15,2179,2226.45,2177,2215.05
13-Mar-15,2225,2230,2192.4,2220
16-Mar-15,2210.55,2282,2210.55,2261
17-Mar-15,2266.65,2279.5,2217.25,2245
18-Mar-15,2254.5,2262.85,2222.55,2233
19-Mar-15,2234.6,2249,2222.75,2230.65
20-Mar-15,2241,2268.9,2232.95,2263.55
23-Mar-15,2253,2275,2225.5,2236
24-Mar-15,2234.9,2253.4,2206,2215.2
25-Mar-15,2222.9,2229.15,2200.75,2222.8
26-Mar-15,2208,2214.9,2132,2163
27-Mar-15,2164,2224.7,2163,2202
30-Mar-15,2205.6,2240,2194.9,2239.85
31-Mar-15,2245,2273.65,2204.35,2215.1
01-Apr-15,2198.9,2199.5,2157.7,2171
06-Apr-15,2179,2184.7,2160.4,2179.95
07-Apr-15,2175,2182.8,2138,2161
08-Apr-15,2182.5,2204.9,2173.05,2200
09-Apr-15,2211.4,2218.9,2184.4,2212
10-Apr-15,2210.2,2238,2210.2,2228.75
13-Apr-15,2238,2244,2216.1,2231
15-Apr-15,2236.5,2245,2195.05,2217.95
16-Apr-15,2222,2231,2160.5,2196.9
17-Apr-15,2180.05,2194.95,2153.45,2180
20-Apr-15,2176,2180,2115.15,2129.5
21-Apr-15,2148,2155.1,2120.1,2142.6
22-Apr-15,2151.05,2155,2097.95,2137.95
23-Apr-15,2148.7,2150,2112,2121.05
24-Apr-15,2136.1,2136.1,2136.1,2136.1
24-Apr-15,2135.9,2150.2,1980,1993
27-Apr-15,2000,2002,1948.1,1984.85
28-Apr-15,1982,1982,1952,1956.9
29-Apr-15,1960.9,1972,1937.95,1963
30-Apr-15,1960,1965,1932.3,1943.5
04-May-15,1959.5,2000,1949.9,1992.25
05-May-15,2000,2003.7,1952.05,1964.5
06-May-15,1975,1975,1915.3,1924
07-May-15,1922,1967.1,1910,1940
