Date,Open,High,Low,LTP
01-Jan-15,367.6,368.9,366,367.15
02-Jan-15,367.25,370.15,367.25,368
05-Jan-15,368.7,371.8,367.55,369.5
06-Jan-15,368.65,369.4,359,360
07-Jan-15,357,364,353,353.9
08-Jan-15,355.45,363.35,355.45,361.8
09-Jan-15,363.1,365.85,353.1,358.85
12-Jan-15,357.45,361.35,356.1,357.9
13-Jan-15,358.4,361.7,357.3,361.05
14-Jan-15,359.7,359.7,346.1,348.45
15-Jan-15,353.1,359.9,350.9,356.35
16-Jan-15,358.45,361.95,354.35,360
19-Jan-15,360,361.75,356,358.2
20-Jan-15,359.1,371.85,358.1,371.3
21-Jan-15,372.95,372.95,349.2,352
22-Jan-15,353,359.8,348.85,352
23-Jan-15,353.45,355.95,348.8,349.45
27-Jan-15,350,361,349.35,360.65
28-Jan-15,360,363.45,357.55,363
29-Jan-15,363,372,360,370
30-Jan-15,370,372,363.65,368.75
02-Feb-15,367,369.2,359.4,360.5
03-Feb-15,361.45,367,361.45,365.65
04-Feb-15,367.5,370.5,365.35,366.8
05-Feb-15,365.9,372.1,363.7,368.3
06-Feb-15,366.1,374.4,366.1,373.75
09-Feb-15,371.15,373.85,366.7,369.75
10-Feb-15,368.1,372,366.9,370.9
11-Feb-15,371.05,372.9,367.85,372.4
12-Feb-15,372,372,364.65,370.3
13-Feb-15,371.2,379.25,370.05,378
16-Feb-15,378.4,391,378,389.8
18-Feb-15,385,402,385,392.8
19-Feb-15,392.95,393.7,383.6,390
20-Feb-15,387.5,397.9,384.35,397.85
23-Feb-15,395,398.8,389.25,390.75
24-Feb-15,392,398,388.65,395.1
25-Feb-15,397.6,400,393.45,399.5
26-Feb-15,397.9,401.4,391.95,392.3
27-Feb-15,394.8,396.65,384.05,393
28-Feb-15,393.15,409.95,348.5,361.3
02-Mar-15,358,358,342,343.15
03-Mar-15,343.5,345.5,339,341.15
04-Mar-15,345,350.8,342.9,345.1
05-Mar-15,347,349.1,341.7,346.95
09-Mar-15,343.7,344.9,337.25,337.4
10-Mar-15,340,342.7,335.1,338.55
11-Mar-15,340.35,340.7,337.55,338.5
12-Mar-15,339.05,348.25,338.8,346.4
