Date,Open,High,Low,LTP
01-Jan-15,340.25,344.75,340.1,343.7
02-Jan-15,344.1,352.5,344.1,350
05-Jan-15,347,358,346,353.5
06-Jan-15,348.55,348.95,330.6,331.75
07-Jan-15,333,341.55,328.1,338.6
08-Jan-15,342.95,343.85,335.5,340.5
09-Jan-15,347.1,356.9,336.4,350.6
12-Jan-15,352.05,352.4,344.45,347.1
13-Jan-15,348,348.6,338.3,340.2
14-Jan-15,340,346,339,344.5
15-Jan-15,349,353,342.65,344.05
16-Jan-15,345,352,343.35,346.95
19-Jan-15,349.1,353,345.8,348.6
20-Jan-15,351.5,351.5,347.3,350.4
21-Jan-15,350.15,350.5,344.1,346.35
22-Jan-15,347,354.85,345.75,353.75
23-Jan-15,355,356,347.55,349.55
27-Jan-15,350,351.6,346.05,350
28-Jan-15,350,356.5,348.55,354.65
29-Jan-15,352,355.5,347.5,350.5
30-Jan-15,351.9,355.45,348.05,352.1
02-Feb-15,355,357.8,348.6,348.95
03-Feb-15,352.6,361,352,359.2
04-Feb-15,366.15,373.8,362.1,368
05-Feb-15,368.1,368.5,354.05,355.85
06-Feb-15,360,361.25,347.7,350.9
09-Feb-15,349.1,357.85,349.1,356
10-Feb-15,355,359.1,351,355.2
11-Feb-15,355,356.4,344,345
12-Feb-15,346,350.6,339.35,349
13-Feb-15,339.55,343.9,338.25,339.5
16-Feb-15,337.5,344.7,337,340.7
18-Feb-15,341.35,343.9,332,332.4
19-Feb-15,334,335.95,330.6,334.75
20-Feb-15,334.4,335.9,330,330.85
23-Feb-15,331.7,333.55,323.7,324.45
24-Feb-15,326.1,326.8,312.65,314.9
25-Feb-15,317.8,323.35,315.15,317.9
26-Feb-15,320,322.2,315.55,321
27-Feb-15,319,326,319,324.3
28-Feb-15,329.7,332.45,321.85,324
02-Mar-15,328.8,329.6,317.4,320.45
03-Mar-15,320.05,326,317,321.35
04-Mar-15,322.45,326.75,318.8,320.25
05-Mar-15,321.05,321.45,317.4,319.8
09-Mar-15,317.85,318.5,314.1,316.5
10-Mar-15,318,318.95,308.15,315.5
11-Mar-15,315,316.9,309,309.6
12-Mar-15,311,313.95,308.9,312.75
13-Mar-15,313.1,316.8,311.3,315
16-Mar-15,313.85,314.6,311.1,312
17-Mar-15,312.1,315.5,310.05,314.25
18-Mar-15,315,315.45,308,309.25
19-Mar-15,309.9,313.9,309.2,312.25
20-Mar-15,312.2,313,308.4,311.5
23-Mar-15,311,315.35,310.85,314.6
24-Mar-15,310.6,315,309,313
25-Mar-15,315.65,316.45,308.7,310
26-Mar-15,311,311.4,298.8,300.35
27-Mar-15,302.95,308.35,301.4,305
30-Mar-15,305,317.4,303.85,316.25
31-Mar-15,315.95,319.6,304.5,305.8
01-Apr-15,307,309.25,305.5,307.45
06-Apr-15,308.1,318.25,308,318.15
07-Apr-15,320,320.5,315,318.85
08-Apr-15,319,319,311.9,313.25
09-Apr-15,314.5,315.8,308.5,309.6
10-Apr-15,310.2,315.8,309.15,310
13-Apr-15,313.5,313.5,310.1,311.65
15-Apr-15,312.8,322.7,311.5,317.1
16-Apr-15,318.6,328.75,318.5,327.85
17-Apr-15,329.5,332.85,328,329.15
20-Apr-15,329.85,332.9,316.2,321.9
21-Apr-15,322.6,327.4,318.3,320.35
22-Apr-15,321.05,323.85,309.55,312
23-Apr-15,315,315.4,306.8,307.8
24-Apr-15,310,318.9,307.65,317.4
27-Apr-15,317.95,317.95,308.1,308.7
28-Apr-15,309,313.6,304.05,306.15
29-Apr-15,307.55,309.55,304.1,304.5
30-Apr-15,306.85,308.8,303.1,304.25
04-May-15,306.1,330.5,306.1,329.7
05-May-15,331,343.2,328.5,341.8
06-May-15,339.6,340.8,325.1,329.2
07-May-15,330,331.3,316.5,317.1
08-May-15,320.95,324.4,313.85,315.4
11-May-15,316.9,320.8,315.05,318.7
12-May-15,320.1,320.45,307.2,309.5
13-May-15,312.15,317.7,308.5,311.15
14-May-15,312.1,317,309.15,315.8
15-May-15,315.9,319.7,312.5,317.6
18-May-15,320.3,324.6,319.65,320.8
19-May-15,319.35,321.3,315.55,316.85
20-May-15,317,319.25,314,314.3
21-May-15,316.4,318.95,314.4,318
22-May-15,323.5,325,319.2,322.4
25-May-15,324,330.75,323.2,328.55
26-May-15,330,330.85,321.5,323
27-May-15,324,333.35,320.65,331.45
28-May-15,335,337.2,324.3,326.7
29-May-15,318,331.8,313.2,327.15
01-Jun-15,329,329.9,322.4,324
02-Jun-15,328.75,328.75,318.3,319.5
03-Jun-15,320.3,323.3,306.5,309
04-Jun-15,309.8,309.8,300.25,302.25
05-Jun-15,302.45,312.45,297.3,308.95
08-Jun-15,310,310,305.1,306.2
09-Jun-15,305.1,306.8,300.35,301
10-Jun-15,302,308,302,304.95
11-Jun-15,306.1,308.45,300.4,301.45
12-Jun-15,301,302.95,299.5,301.25
15-Jun-15,301,306.9,298.55,303.8
16-Jun-15,303.95,305.3,300,305.05
17-Jun-15,305,307.25,303.35,306.45
18-Jun-15,306.4,315.2,305.25,314
19-Jun-15,314.75,321,314.1,319.65
22-Jun-15,320,320,314,318.7
23-Jun-15,319,323.4,317.8,319.1
24-Jun-15,319.95,323,316.15,316.35
25-Jun-15,316.7,320.3,311.7,313
26-Jun-15,313,315.5,310.6,312.65
29-Jun-15,309.1,310.8,306,309.25
30-Jun-15,308.2,311.35,307.5,309.85
01-Jul-15,309,317.1,308.7,313.8
02-Jul-15,314,315.1,309.45,310.8
03-Jul-15,312,312.8,308.35,309.3
06-Jul-15,305.55,309,304.2,308.2
07-Jul-15,308.5,309.05,304.6,305.2
08-Jul-15,303,307.75,301.8,302
09-Jul-15,303.25,304.9,297.4,299.4
10-Jul-15,301.8,301.8,291.4,294
13-Jul-15,295.3,295.9,287.65,291
14-Jul-15,290,292.9,287.7,289.05
15-Jul-15,291.25,295.25,290.7,291.4
16-Jul-15,291.5,294.75,290.1,291.9
17-Jul-15,292.7,294.35,290.85,292.85
20-Jul-15,293,294.1,290.5,291.5
21-Jul-15,291.8,291.9,280.2,281
22-Jul-15,281.5,287.95,281.5,284.45
23-Jul-15,285,285.45,279.55,284.15
24-Jul-15,283.5,285.9,281.65,282.5
27-Jul-15,282,282.85,270,271.6
28-Jul-15,272.1,272.5,263.45,269.55
29-Jul-15,271,271.6,265,269.95
30-Jul-15,272.9,274.4,270.1,271.9
31-Jul-15,271.5,276.5,271.2,272.45
03-Aug-15,272.9,277.5,268.05,272.75
04-Aug-15,273.75,273.75,264.7,267
05-Aug-15,269,272,267.9,270
06-Aug-15,271,273.5,269.45,271.4
07-Aug-15,270,283.95,269.55,282.55
10-Aug-15,284,284.7,274,274.4
11-Aug-15,276.65,276.65,269.05,269.65
12-Aug-15,270,272.5,265.6,270.4
13-Aug-15,271,274,265.65,270.6
14-Aug-15,272.05,273.5,268.05,270.15
17-Aug-15,270.1,270.15,261.45,264
18-Aug-15,266,266.55,260,260.7
19-Aug-15,260,262.8,257.1,260.6
20-Aug-15,258,258.7,254.1,256.55
21-Aug-15,254.05,257.4,251.1,255.7
24-Aug-15,250,250.8,226.2,228.75
25-Aug-15,230.75,235.45,224.25,232
26-Aug-15,231,236.6,223,223.75
27-Aug-15,232,233.4,226.05,232
28-Aug-15,238.9,246.4,237.9,243.15
31-Aug-15,247.7,248.4,237.7,239.35
01-Sep-15,242.8,243.35,232.7,234.5
02-Sep-15,234.15,235.5,224.35,225.3
03-Sep-15,228.75,231.8,226.5,229.45
04-Sep-15,232.65,232.65,221.25,226.2
07-Sep-15,227,228.35,223.55,225.5
08-Sep-15,227.95,230.5,224.1,230
09-Sep-15,233.05,233.6,229.25,230.55
10-Sep-15,228.5,229.85,223.7,228.95
11-Sep-15,228.65,231.9,227.2,229.1
14-Sep-15,229.9,230.4,226,228.6
15-Sep-15,229.9,231.9,225.8,229.25
16-Sep-15,232.8,232.8,228.25,230.75
18-Sep-15,231.1,241.2,229.9,240.1
21-Sep-15,235.8,239.85,235,238.75
22-Sep-15,241.8,241.8,233.15,235.1
23-Sep-15,230.1,237.95,229.75,236.85
24-Sep-15,236.6,236.6,226.1,227.1
28-Sep-15,228.25,228.45,224.1,225.2
29-Sep-15,223.8,227.4,217.7,226.25
30-Sep-15,228.5,230.8,222.1,230
01-Oct-15,229.35,234,228,232
05-Oct-15,234,241.2,229,240.25
06-Oct-15,241,248.65,239.6,247.05
07-Oct-15,251,260.85,251,260
08-Oct-15,260.4,260.4,252.25,256.85
09-Oct-15,261,265,260.2,262.6
12-Oct-15,263.75,267.75,262.3,263.9
13-Oct-15,259.55,261.25,252.25,254.05
14-Oct-15,254,263.3,253.4,255.8
15-Oct-15,257.1,261,254.1,260.5
16-Oct-15,261,265.3,257,264
