Date,Open,High,Low,LTP
01-Jan-15,312.45,315,310.7,314
02-Jan-15,314.35,318.3,314.35,315.25
05-Jan-15,316.25,316.8,312.1,312.75
06-Jan-15,310,311.1,298.7,299.9
07-Jan-15,300,302.55,295.15,300.15
08-Jan-15,305,306.5,302.35,304.85
09-Jan-15,306.7,307.85,302,303.2
12-Jan-15,304.15,307.8,301.1,307.1
13-Jan-15,308.15,310.75,304.15,305.1
14-Jan-15,304,307,302.25,304.7
15-Jan-15,319.9,323.7,314,320.3
16-Jan-15,320,320.3,313.1,315.45
19-Jan-15,316.55,317.95,312.5,313.15
20-Jan-15,314,319.8,314,318.15
21-Jan-15,319.9,327.6,319,326.2
22-Jan-15,326.9,327.6,321.8,324.65
23-Jan-15,328.25,332.55,324.65,327.45
27-Jan-15,329.4,332.15,322.6,330.05
28-Jan-15,330.4,336,328.2,334.6
29-Jan-15,332.8,333.6,325.1,327
30-Jan-15,328.7,330.5,307,308.95
02-Feb-15,309.5,311.9,305.1,307.5
03-Feb-15,312,312,299.05,300.3
04-Feb-15,302.7,302.95,291.9,293.05
05-Feb-15,293.15,297.8,289.2,290.8
06-Feb-15,291,294.85,285.7,290.3
09-Feb-15,289.5,292.8,278,279.5
10-Feb-15,277.5,290.8,275.7,287.3
11-Feb-15,290.8,293.5,283.7,285.95
12-Feb-15,288.9,289,278.3,284.3
13-Feb-15,288,307.95,285.35,306.95
16-Feb-15,310.6,313.15,304.7,306.7
18-Feb-15,306.8,307.9,302,305.7
19-Feb-15,306.1,307.3,296.8,302.35
20-Feb-15,301.9,306.5,297.05,302.3
23-Feb-15,303.2,304.6,294.4,296.55
24-Feb-15,296.9,299,292.1,296.25
25-Feb-15,299,300.65,295,295.55
26-Feb-15,297,297,288.05,289.4
27-Feb-15,291.25,301,290.1,299.9
28-Feb-15,304.95,306.4,295.1,301.65
02-Mar-15,305.9,305.9,296.7,302
03-Mar-15,303.5,305.4,299.7,302.6
04-Mar-15,314,315,292,293.85
05-Mar-15,294.75,296.25,289.75,293.8
09-Mar-15,292,294,288.7,290.65
10-Mar-15,290.75,293.25,285.1,287.6
11-Mar-15,288.55,290.9,283.75,285.15
12-Mar-15,288.15,289.45,286.1,286.85
13-Mar-15,290,291.05,280,280.75
16-Mar-15,281.5,283.85,280,281.65
17-Mar-15,283.9,284,279.5,283.1
18-Mar-15,284.1,288.45,282,287.3
19-Mar-15,290,290.3,280.6,281.6
20-Mar-15,281.8,282.4,276.8,278.25
23-Mar-15,279.4,280,273.55,274.75
24-Mar-15,273.8,276.4,269,270.55
25-Mar-15,271.9,272.1,265,265.4
26-Mar-15,264.5,265.9,255.2,256.65
27-Mar-15,259.85,264.95,256,263.6
30-Mar-15,265.1,269.35,263.15,267.9
31-Mar-15,268.9,271.35,266,267.05
01-Apr-15,266.65,274.65,263.15,273.45
06-Apr-15,275.45,275.75,271.2,274.65
07-Apr-15,275.3,276.35,270.3,272.05
08-Apr-15,271.9,277.35,271.85,273.9
09-Apr-15,275,281.8,272.5,280.85
10-Apr-15,281,287.35,280.05,285.75
13-Apr-15,287.8,288.5,283.35,286.3
15-Apr-15,287.4,294.45,285.95,290
16-Apr-15,290.25,294.25,286.5,292.4
17-Apr-15,291,294.9,289.2,291.75
20-Apr-15,291,293.35,284.85,287.65
21-Apr-15,287.4,292,281.75,289.2
22-Apr-15,290.55,293.25,275.4,283.85
23-Apr-15,285,287.4,276.25,277.65
24-Apr-15,278.35,279.6,274.35,275.55
27-Apr-15,276.55,276.55,266.1,267.05
28-Apr-15,267,273.5,265.15,272.5
29-Apr-15,272.25,273.4,269.55,271.9
30-Apr-15,270.1,273.45,266.7,269.75
04-May-15,274,278,271.65,277.15
05-May-15,277,277,271.35,272.05
06-May-15,271.45,273.6,263.25,265.4
07-May-15,264,267.25,259.65,260.95
08-May-15,264,268,260.3,261.95
11-May-15,263.4,277.2,262.6,276.05
12-May-15,275.3,275.4,266.35,267.4
13-May-15,269.9,275,268.05,274.3
14-May-15,274,281.9,272.95,280.95
15-May-15,282,288.35,282,287.45
18-May-15,289.9,290,285.4,289.75
19-May-15,289.2,291.35,286.2,288.45
20-May-15,289.5,294.8,289.25,292.6
21-May-15,294,294.75,288.45,290.25
22-May-15,293,305,280.75,282.45
25-May-15,280.2,284.3,276.15,277.65
26-May-15,279,280.8,276,277.15
27-May-15,277,281.6,274.2,280.75
28-May-15,279.8,279.8,276.1,277.6
29-May-15,278.65,281.65,277.1,278.15
01-Jun-15,278.65,282,277.55,278.2
02-Jun-15,278.8,279.45,265.35,266.25
